position,16.056089055040957,-1.284582885182346,0.0
position,15.818931272404706,-3.0969857268616634,0.0
position,16.140676999094847,-4.766644203374211,0.0
position,16.36404497773267,-6.277979690356747,0.0
position,16.804816201671027,-7.166954597570098,0.0
position,15.130565105223834,-7.947788269332096,0.0
position,12.683290789709416,-7.893378927589075,0.0
position,10.869883310855641,-8.009657733806671,0.0
position,8.285812237649417,-7.4436584354465625,0.0
position,6.712935111225619,-7.679540326944462,0.0
position,4.6624608404337184,-7.822815564924112,0.0
